Lat	Long	Speed	Temp	Sal	Chla
30.65215333	128.3042867	14.6	25.175	34.608	0.97
30.64878667	128.3016467	14.6	25.16	34.59	0.96
30.64542667	128.2989967	14.5	25.12	34.568	1.07
30.64204333	128.2963683	14.6	25.08	34.561	1.05
30.638655	128.2937267	14.6	25.042	34.55	1.15
30.635245	128.2910733	14.7	25.005	34.548	1.16
30.63184667	128.28843	14.7	24.973	34.535	1.19
30.62842833	128.28576	14.8	24.938	34.529	1.19
30.62499667	128.2830883	14.8	24.915	34.517	1.19
30.621565	128.2804133	14.8	24.895	34.508	1.22
30.618105	128.277765	14.8	24.879	34.509	1.29
30.61466833	128.275075	14.9	24.866	34.504	1.31
30.611215	128.2724133	14.9	24.849	34.495	1.3
30.60775	128.2697583	14.9	24.825	34.485	1.29
30.60428833	128.2670683	14.9	24.801	34.472	1.31
30.600835	128.2643983	14.9	24.775	34.453	1.36
30.597365	128.2617683	14.9	24.746	34.436	1.38
30.593915	128.2590983	14.9	24.694	34.409	1.35
30.59044667	128.2564533	14.9	24.632	34.376	1.46
30.58698333	128.253785	14.9	24.591	34.361	1.46
30.58351	128.2511383	14.9	24.549	34.344	1.44
30.58004333	128.2485	14.9	24.512	34.342	1.53
30.57658167	128.2458483	14.9	24.477	34.33	1.45
30.57309833	128.2432417	14.9	24.438	34.317	1.55
30.56962167	128.2406317	14.8	24.415	34.311	1.54
30.56615667	128.2380317	14.8	24.394	34.307	1.52
30.562695	128.235425	14.8	24.371	34.321	1.6
30.55922333	128.2328	14.9	24.362	34.305	1.52
30.55573333	128.2301883	14.9	24.354	34.311	1.45
30.55224333	128.227535	15	24.35	34.315	1.47
30.54874167	128.2249067	14.9	24.343	34.31	1.41
30.54524167	128.22231	14.9	24.353	34.326	1.46
30.54170167	128.2197033	14.9	24.39	34.364	1.33
30.538175	128.2171833	14.8	24.444	34.41	1.12
30.5347	128.214625	14.8	24.529	34.456	0.93
30.531235	128.2120533	14.8	24.602	34.491	0.92
30.52773667	128.2095117	14.8	24.699	34.537	0.78
30.52424167	128.2069767	14.8	24.748	34.527	0.82
30.520785	128.2043667	14.8	24.778	34.467	1.01
30.51726667	128.2018433	14.8	24.774	34.416	1.18
30.51378	128.1992833	14.8	24.755	34.354	1.66
30.51034	128.1966917	14.8	24.737	34.323	1.86
30.50689667	128.1940883	14.7	24.728	34.297	1.94
30.50345667	128.1915317	14.7	24.716	34.27	2.19
30.500045	128.1889333	14.7	24.708	34.266	2.26
