Site1	Site2	Dist_Bray	Sim_Bray
20	23	0.5596689573634819	0.4403310426365181
21	23	0.5993497376782679	0.40065026232173206
22	23	0.5679450232764354	0.43205497672356463
1	24	0.3904529668218429	0.6095470331781572
2	24	0.3625951378112761	0.6374048621887238
3	24	0.3256484149855908	0.6743515850144093
4	24	0.44055272297347225	0.5594472770265277
5	24	0.46131678120150743	0.5386832187984926
6	24	0.3625212443656248	0.6374787556343753
7	24	0.3408704647897731	0.6591295352102269
8	24	0.34205275992019507	0.657947240079805
9	24	0.360969482006946	0.639030517993054
10	24	0.39532993423483337	0.6046700657651667
11	24	0.3993201803000074	0.6006798196999926
12	24	0.32771743146382915	0.6722825685361709
13	24	0.3791472696371832	0.6208527303628169
14	24	0.3487770634744698	0.6512229365255302
15	24	0.5497672356461982	0.4502327643538018
16	24	0.6730215029926846	0.3269784970073154
17	24	0.6355440605948642	0.36445593940513576
18	24	0.6842533067316929	0.31574669326830707
19	24	0.6766303343801958	0.3233696656198042
20	24	0.3439739895071307	0.6560260104928692
21	24	0.37257075297421116	0.6274292470257888
22	24	0.3192196852139215	0.6807803147860785
23	24	0.7094509716988103	0.29054902830118967
1	25	0.40367989359343825	0.5963201064065617
2	25	0.4199364516367398	0.5800635483632601
3	25	0.3813640730067243	0.6186359269932757
4	25	0.3902312864848888	0.6097687135151112
5	25	0.41129091849552946	0.5887090815044705
6	25	0.3687282938003399	0.6312717061996601
7	25	0.38734944210448535	0.6126505578955146
8	25	0.36503362151777136	0.6349663784822286
9	25	0.3497376782679376	0.6502623217320624
10	25	0.33931870243109435	0.6606812975689056
11	25	0.3519544816374788	0.6480455183625212
12	25	0.2680115273775216	0.7319884726224783
13	25	0.34116603857237865	0.6588339614276213
14	25	0.28707603635557527	0.7129239636444247
15	25	0.4932387497228996	0.5067612502771004
16	25	0.6174536318628537	0.38254636813714626
17	25	0.5880288195085904	0.41197118049140957
18	25	0.6328234685583389	0.36717653144166107
19	25	0.6245335303898023	0.3754664696101977
20	25	0.32247099682258185	0.6775290031774182
21	25	0.3200325131160866	0.6799674868839134
22	25	0.27222345377964974	0.7277765462203503
23	25	0.6698440848296756	0.3301559151703244
24	25	0.2170250498780758	0.7829749501219242
1	26	0.3945171063326683	0.6054828936673318
2	26	0.39215251607182444	0.6078474839281756
3	26	0.34862927658316706	0.6513707234168329
4	26	0.3661420232025419	0.6338579767974581
5	26	0.3954777211261361	0.6045222788738639
6	26	0.35247173575703833	0.6475282642429616
7	26	0.37390083499593585	0.6260991650040642
8	26	0.3727924333111653	0.6272075666888347
9	26	0.35793985073523976	0.6420601492647602
10	26	0.33931870243109435	0.6606812975689056
11	26	0.34862927658316706	0.6513707234168329
12	26	0.27769156875785117	0.7223084312421488
13	26	0.345821325648415	0.6541786743515849
14	26	0.3053277174314638	0.6946722825685362
15	26	0.48570161826645974	0.5142983817335403
16	26	0.6089558856129461	0.3910441143870539
17	26	0.585442453353039	0.414557546646961
18	26	0.6194487548954408	0.3805512451045592
19	26	0.6245335303898023	0.3754664696101977
20	26	0.30074632380107885	0.6992536761989212
21	26	0.32143648858346263	0.6785635114165374
22	26	0.24185324761693638	0.7581467523830636
23	26	0.6706569127318407	0.3293430872681593
24	26	0.2102268528781497	0.7897731471218503
25	26	0.18288627798714255	0.8171137220128575
1	27	0.5086085864183847	0.4913914135816153
2	27	0.48850956920121186	0.5114904307987882
3	27	0.46456809281016775	0.5354319071898322
4	27	0.38321140914800855	0.6167885908519914
5	27	0.3839503436045223	0.6160496563954777
6	27	0.5030665779945319	0.4969334220054681
7	27	0.4679671913101308	0.5320328086898691
8	27	0.4757260031035247	0.5242739968964754
9	27	0.45296682184290255	0.5470331781570974
10	27	0.29623882361634524	0.7037611763836548
11	27	0.27717431463829156	0.7228256853617084
12	27	0.3448607108549472	0.6551392891450528
13	27	0.3778171876154585	0.6221828123845414
14	27	0.30776620113795905	0.692233798862041
15	27	0.31175644720313306	0.6882435527968669
16	27	0.43737530481046333	0.5626246951895366
17	27	0.4035839645298356	0.5964160354701644
18	27	0.45237567427769154	0.5476243257223085
19	27	0.44334010714945504	0.556659892850545
20	27	0.22936525530185473	0.7706347446981453
21	27	0.2597354614645681	0.7402645385354318
22	27	0.19219685213921525	0.8078031478607848
23	27	0.48547993792950567	0.5145200620704944
24	27	0.3758220645828715	0.6241779354171285
25	27	0.32062366068129755	0.6793763393187024
26	27	0.30931796349663787	0.6906820365033621
1	28	0.7661838604788649	0.2338161395211351
2	28	0.7574637895359149	0.24253621046408513
3	28	0.7511084835944428	0.24889151640555718
4	28	0.6182382500738989	0.3817617499261011
5	28	0.6005764114691102	0.3994235885308898
6	28	0.7571681939107301	0.2428318060892699
7	28	0.7364026012415016	0.2635973987584984
8	28	0.7425362104640851	0.25746378953591487
9	28	0.7019657109074786	0.2980342890925214
10	28	0.519804906887378	0.480195093112622
11	28	0.5302246526751404	0.4697753473248596
